quiz_title,quiz_description,quiz_public,author_email,question_text,question_type,alternative_text,alternative_is_correct
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O termo ""requisito"" denota três conceitos. Qual alternativa lista os três corretamente?",multiple_choice,"Desejo do desenvolvedor, restrição técnica e plano de projeto",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O termo ""requisito"" denota três conceitos. Qual alternativa lista os três corretamente?",multiple_choice,"Objetivo de negócio, funcionalidade e prazo de entrega",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O termo ""requisito"" denota três conceitos. Qual alternativa lista os três corretamente?",multiple_choice,Necessidade percebida por um stakeholder; capacidade ou propriedade que o sistema deve ter; representação documentada,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O termo ""requisito"" denota três conceitos. Qual alternativa lista os três corretamente?",multiple_choice,"Especificação, código e teste",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual tipo de requisito limita o espaço da solução além do necessário para atender aos demais requisitos?,multiple_choice,Requisito funcional,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual tipo de requisito limita o espaço da solução além do necessário para atender aos demais requisitos?,multiple_choice,Requisito de qualidade,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual tipo de requisito limita o espaço da solução além do necessário para atender aos demais requisitos?,multiple_choice,Restrição,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual tipo de requisito limita o espaço da solução além do necessário para atender aos demais requisitos?,multiple_choice,Requisito de domínio,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos funcionais dizem respeito a:,multiple_choice,Resultado ou comportamento que deve ser fornecido por uma função do sistema,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos funcionais dizem respeito a:,multiple_choice,"Questões de qualidade, como desempenho e segurança",false
